,cleantweet,tweetid,len,meaning,lemmatized,pos
10,vital public health community addresses climate change via tabola apha2016,7.93128E+17,74,Positive,vital public health community addresses climate change via tabola apha2016,"[('vital', 'JJ'), ('public', 'JJ'), ('health', 'NN'), ('community', 'NN'), ('addresses', 'VBZ'), ('climate', 'JJ'), ('change', 'NN'), ('via', 'IN'), ('tabola', 'NN'), ('apha2016', 'NN')]"
11,bangladesh cause climate change country need aid instead needs compensation,7.9313E+17,75,Positive,bangladesh cause climate change country need aid instead needs compensation,"[('bangladesh', 'NN'), ('cause', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('country', 'NN'), ('need', 'VBP'), ('aid', 'VBN'), ('instead', 'RB'), ('needs', 'JJ'), ('compensation', 'NN')]"
12,watch beforetheflood right travels world tackle climate change htt,7.9313E+17,66,Positive,watch beforetheflood right travels world tackle climate change htt,"[('watch', 'NN'), ('beforetheflood', 'NN'), ('right', 'RB'), ('travels', 'VBZ'), ('world', 'NN'), ('tackle', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('htt', 'NN')]"
13,time need strong ftt works hardest hit climate change poverty,7.9313E+17,61,Positive,time need strong ftt works hardest hit climate change poverty,"[('time', 'NN'), ('need', 'MD'), ('strong', 'JJ'), ('ftt', 'VB'), ('works', 'NNS'), ('hardest', 'JJS'), ('hit', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('poverty', 'NN')]"
14,reflections leonardo dicaprio new climate change film beforetheflood,7.9313E+17,68,News,reflections leonardo dicaprio new climate change film beforetheflood,"[('reflections', 'NNS'), ('leonardo', 'VBP'), ('dicaprio', 'JJ'), ('new', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('film', 'NN'), ('beforetheflood', 'NN')]"
15,problem global warming reason continues resist illustration even streets flood h,7.9313E+17,80,Positive,problem global warming reason continues resist illustration even streets flood h,"[('problem', 'NN'), ('global', 'JJ'), ('warming', 'VBG'), ('reason', 'NN'), ('continues', 'VBZ'), ('resist', 'VBP'), ('illustration', 'NN'), ('even', 'RB'), ('streets', 'VBZ'), ('flood', 'NN'), ('h', 'NN')]"
16,one easiest ways help combat climate change daily life stop eating beef,7.93131E+17,71,Positive,one easiest ways help combat climate change daily life stop eating beef,"[('one', 'CD'), ('easiest', 'JJS'), ('ways', 'NNS'), ('help', 'VBP'), ('combat', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('daily', 'JJ'), ('life', 'NN'), ('stop', 'NN'), ('eating', 'NN'), ('beef', 'NN')]"
17,watch leo dicaprio climate change doc online free world ends,7.93133E+17,60,Positive,watch leo dicaprio climate change doc online free world ends,"[('watch', 'NN'), ('leo', 'NN'), ('dicaprio', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('doc', 'NN'), ('online', 'VBP'), ('free', 'JJ'), ('world', 'NN'), ('ends', 'VBZ')]"
18,climate change affect sea level rise flood cities world warms,7.93133E+17,61,Positive,climate change affect sea level rise flood cities world warms,"[('climate', 'NN'), ('change', 'NN'), ('affect', 'VBP'), ('sea', 'NN'), ('level', 'NN'), ('rise', 'NN'), ('flood', 'NN'), ('cities', 'NNS'), ('world', 'NN'), ('warms', 'NNS')]"
19,watch beforetheflood right travels world tackle climate change htt,7.93134E+17,66,Positive,watch beforetheflood right travels world tackle climate change htt,"[('watch', 'NN'), ('beforetheflood', 'NN'), ('right', 'RB'), ('travels', 'VBZ'), ('world', 'NN'), ('tackle', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('htt', 'NN')]"
20,dunkley arseholes predict tomorrows weather 4 month heat wave yet trust climate change narrr,7.93135E+17,92,Negative,dunkley arseholes predict tomorrows weather 4 month heat wave yet trust climate change narrr,"[('dunkley', 'NN'), ('arseholes', 'NNS'), ('predict', 'VBP'), ('tomorrows', 'VBZ'), ('weather', 'RB'), ('4', 'CD'), ('month', 'NN'), ('heat', 'NN'), ('wave', 'VBP'), ('yet', 'RB'), ('trust', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('narrr', 'NN')]"
21,florida trump defied cuba embargo amp lied also believe climate change affect,7.93136E+17,77,Positive,florida trump defied cuba embargo amp lied also believe climate change affect,"[('florida', 'JJ'), ('trump', 'NN'), ('defied', 'VBD'), ('cuba', 'JJ'), ('embargo', 'NN'), ('amp', 'NN'), ('lied', 'VBD'), ('also', 'RB'), ('believe', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('affect', 'NN')]"
22,must combat climate change indigenous ppl protesting earth water yet happens,7.93136E+17,76,Positive,must combat climate change indigenous ppl protesting earth water yet happens,"[('must', 'MD'), ('combat', 'VB'), ('climate', 'NN'), ('change', 'NN'), ('indigenous', 'JJ'), ('ppl', 'NN'), ('protesting', 'VBG'), ('earth', 'JJ'), ('water', 'NN'), ('yet', 'RB'), ('happens', 'VBZ')]"
23,national geographic climate change documentary leonardo dicaprio youtube via,7.93136E+17,76,Neutral,national geographic climate change documentary leonardo dicaprio youtube via,"[('national', 'JJ'), ('geographic', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('documentary', 'JJ'), ('leonardo', 'NN'), ('dicaprio', 'NN'), ('youtube', 'NN'), ('via', 'IN')]"
24,everyone take time watch climate change docufilm leonardo dicaprio time stop talking,7.93137E+17,84,Positive,everyone take time watch climate change docufilm leonardo dicaprio time stop talking,"[('everyone', 'NN'), ('take', 'VB'), ('time', 'NN'), ('watch', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('docufilm', 'NN'), ('leonardo', 'NN'), ('dicaprio', 'NN'), ('time', 'NN'), ('stop', 'VB'), ('talking', 'VBG')]"
25,boingboing watch flood urgent call arms climate change,7.93137E+17,54,Positive,boingboing watch flood urgent call arms climate change,"[('boingboing', 'VBG'), ('watch', 'NN'), ('flood', 'NN'), ('urgent', 'JJ'), ('call', 'NN'), ('arms', 'NNS'), ('climate', 'VBP'), ('change', 'NN')]"
26,watch beforetheflood right travels world tackle climate change htt,7.93138E+17,66,Positive,watch beforetheflood right travels world tackle climate change htt,"[('watch', 'NN'), ('beforetheflood', 'NN'), ('right', 'RB'), ('travels', 'VBZ'), ('world', 'NN'), ('tackle', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('htt', 'NN')]"
27,care economics fighting climate change,7.93138E+17,38,Neutral,care economics fighting climate change,"[('care', 'NN'), ('economics', 'NNS'), ('fighting', 'VBG'), ('climate', 'NN'), ('change', 'NN')]"
28,like alot places called climate change,7.93138E+17,38,Positive,like alot places called climate change,"[('like', 'IN'), ('alot', 'NN'), ('places', 'NNS'), ('called', 'VBN'), ('climate', 'NN'), ('change', 'NN')]"
29,watch beforetheflood right travels world tackle climate change htt,7.93139E+17,66,Positive,watch beforetheflood right travels world tackle climate change htt,"[('watch', 'NN'), ('beforetheflood', 'NN'), ('right', 'RB'), ('travels', 'VBZ'), ('world', 'NN'), ('tackle', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('htt', 'NN')]"
30,pentagon video future cities predicts inequality climate change scarcity crumbling infrastructure,7.93139E+17,97,News,pentagon video future cities predicts inequality climate change scarcity crumbling infrastructure,"[('pentagon', 'NN'), ('video', 'NN'), ('future', 'JJ'), ('cities', 'NNS'), ('predicts', 'VBZ'), ('inequality', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('scarcity', 'NN'), ('crumbling', 'NN'), ('infrastructure', 'NN')]"
31,leonardo dicaprio climate change documentary flood streaming free youtube,7.93139E+17,73,Neutral,leonardo dicaprio climate change documentary flood streaming free youtube,"[('leonardo', 'NN'), ('dicaprio', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('documentary', 'JJ'), ('flood', 'NN'), ('streaming', 'VBG'), ('free', 'JJ'), ('youtube', 'NN')]"
32,watch beforetheflood right travels world tackle climate change htt,7.9314E+17,66,Positive,watch beforetheflood right travels world tackle climate change htt,"[('watch', 'NN'), ('beforetheflood', 'NN'), ('right', 'RB'), ('travels', 'VBZ'), ('world', 'NN'), ('tackle', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('htt', 'NN')]"
33,climate change information watch flood leonardo dicaprio,7.9314E+17,56,Neutral,climate change information watch flood leonardo dicaprio,"[('climate', 'NN'), ('change', 'NN'), ('information', 'NN'), ('watch', 'NN'), ('flood', 'NN'), ('leonardo', 'NN'), ('dicaprio', 'NN')]"
34,g niggas asked inspiration told global warming,7.9314E+17,46,Neutral,g niggas asked inspiration told global warming,"[('g', 'NN'), ('niggas', 'NN'), ('asked', 'VBD'), ('inspiration', 'NN'), ('told', 'VBD'), ('global', 'JJ'), ('warming', 'NN')]"
35,team energy climate change check mcggovt fant https,7.93141E+17,51,Neutral,team energy climate change check mcggovt fant https,"[('team', 'NN'), ('energy', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('check', 'NN'), ('mcggovt', 'NN'), ('fant', 'NN'), ('https', 'NN')]"
36,global warming real hell al gore told us leo dicaprio keep tryna tell us 82 degrees halloween sumn aint r,7.93141E+17,105,Positive,global warming real hell al gore told us leo dicaprio keep tryna tell us 82 degrees halloween sumn aint r,"[('global', 'JJ'), ('warming', 'VBG'), ('real', 'JJ'), ('hell', 'NN'), ('al', 'NN'), ('gore', 'NN'), ('told', 'VBD'), ('us', 'PRP'), ('leo', 'VB'), ('dicaprio', 'NN'), ('keep', 'VB'), ('tryna', 'NN'), ('tell', 'VB'), ('us', 'PRP'), ('82', 'CD'), ('degrees', 'NNS'), ('halloween', 'JJ'), ('sumn', 'NN'), ('aint', 'NN'), ('r', 'NN')]"
37,web truths climate change affects weather ad,7.93141E+17,44,Positive,web truths climate change affects weather ad,"[('web', 'JJ'), ('truths', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('affects', 'VBZ'), ('weather', 'JJR'), ('ad', 'NN')]"
38,watch beforetheflood right travels world tackle climate change htt,7.93142E+17,66,Positive,watch beforetheflood right travels world tackle climate change htt,"[('watch', 'NN'), ('beforetheflood', 'NN'), ('right', 'RB'), ('travels', 'VBZ'), ('world', 'NN'), ('tackle', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('htt', 'NN')]"
39,watch beforetheflood right travels world tackle climate change htt,7.93143E+17,66,Positive,watch beforetheflood right travels world tackle climate change htt,"[('watch', 'NN'), ('beforetheflood', 'NN'), ('right', 'RB'), ('travels', 'VBZ'), ('world', 'NN'), ('tackle', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('htt', 'NN')]"
40,watch beforetheflood right travels world tackle climate change htt,7.93143E+17,66,Positive,watch beforetheflood right travels world tackle climate change htt,"[('watch', 'NN'), ('beforetheflood', 'NN'), ('right', 'RB'), ('travels', 'VBZ'), ('world', 'NN'), ('tackle', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('htt', 'NN')]"
41,l oreal named global leader climate change strategy healthcare comms news,7.93143E+17,73,News,l oreal named global leader climate change strategy healthcare comms news,"[('l', 'NN'), ('oreal', 'NN'), ('named', 'VBN'), ('global', 'JJ'), ('leader', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('strategy', 'NN'), ('healthcare', 'NN'), ('comms', 'VBZ'), ('news', 'NN')]"
42,climate change goes unchecked many areas southern europe could become deserts scary https,7.93144E+17,89,Positive,climate change goes unchecked many areas southern europe could become deserts scary https,"[('climate', 'NN'), ('change', 'NN'), ('goes', 'VBZ'), ('unchecked', 'JJ'), ('many', 'JJ'), ('areas', 'NNS'), ('southern', 'VBP'), ('europe', 'NN'), ('could', 'MD'), ('become', 'VB'), ('deserts', 'NNS'), ('scary', 'JJ'), ('https', 'NN')]"
43,global warming real hell al gore told us leo dicaprio keep tryna tell us 82 degrees halloween sumn aint r,7.93146E+17,105,Positive,global warming real hell al gore told us leo dicaprio keep tryna tell us 82 degrees halloween sumn aint r,"[('global', 'JJ'), ('warming', 'VBG'), ('real', 'JJ'), ('hell', 'NN'), ('al', 'NN'), ('gore', 'NN'), ('told', 'VBD'), ('us', 'PRP'), ('leo', 'VB'), ('dicaprio', 'NN'), ('keep', 'VB'), ('tryna', 'NN'), ('tell', 'VB'), ('us', 'PRP'), ('82', 'CD'), ('degrees', 'NNS'), ('halloween', 'JJ'), ('sumn', 'NN'), ('aint', 'NN'), ('r', 'NN')]"
44,miss premier climate change documentary beforetheflood yesterday catch gt gt https,7.93147E+17,82,Positive,miss premier climate change documentary beforetheflood yesterday catch gt gt https,"[('miss', 'NNS'), ('premier', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('documentary', 'JJ'), ('beforetheflood', 'NN'), ('yesterday', 'NN'), ('catch', 'VBP'), ('gt', 'NN'), ('gt', 'NN'), ('https', 'NN')]"
45,watched everybody esp world leaders must stand together act climate change,7.93147E+17,74,Positive,watched everybody esp world leaders must stand together act climate change,"[('watched', 'VBN'), ('everybody', 'NN'), ('esp', 'JJ'), ('world', 'NN'), ('leaders', 'NNS'), ('must', 'MD'), ('stand', 'VB'), ('together', 'RB'), ('act', 'JJ'), ('climate', 'NN'), ('change', 'NN')]"
46,watch beforetheflood right travels world tackle climate change htt,7.93147E+17,66,Positive,watch beforetheflood right travels world tackle climate change htt,"[('watch', 'NN'), ('beforetheflood', 'NN'), ('right', 'RB'), ('travels', 'VBZ'), ('world', 'NN'), ('tackle', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('htt', 'NN')]"
47,creating new think tank climate change would join post tweet also,7.93148E+17,65,Positive,creating new think tank climate change would join post tweet also,"[('creating', 'VBG'), ('new', 'JJ'), ('think', 'NN'), ('tank', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('would', 'MD'), ('join', 'VB'), ('post', 'NN'), ('tweet', 'NN'), ('also', 'RB')]"
48,watch beforetheflood right travels world tackle climate change htt,7.93149E+17,66,Positive,watch beforetheflood right travels world tackle climate change htt,"[('watch', 'NN'), ('beforetheflood', 'NN'), ('right', 'RB'), ('travels', 'VBZ'), ('world', 'NN'), ('tackle', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('htt', 'NN')]"
49,nicely said financiers philanthropists allies fight climate change french,7.93149E+17,73,Positive,nicely said financiers philanthropists allies fight climate change french,"[('nicely', 'RB'), ('said', 'VBD'), ('financiers', 'NNS'), ('philanthropists', 'NNS'), ('allies', 'NNS'), ('fight', 'VBP'), ('climate', 'NN'), ('change', 'NN'), ('french', 'JJ')]"
50,late fight climate change yearsproject,7.9315E+17,38,Positive,late fight climate change yearsproject,"[('late', 'RB'), ('fight', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('yearsproject', 'NN')]"
51,remarkable man work climate change impressive people need see,7.9315E+17,61,Positive,remarkable man work climate change impressive people need see,"[('remarkable', 'JJ'), ('man', 'NN'), ('work', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('impressive', 'JJ'), ('people', 'NNS'), ('need', 'VBP'), ('see', 'VB')]"
52,trump called climate change hoax chinese tells michigan crowd environmentalist,7.9315E+17,78,Positive,trump called climate change hoax chinese tells michigan crowd environmentalist,"[('trump', 'NN'), ('called', 'VBN'), ('climate', 'NN'), ('change', 'NN'), ('hoax', 'VBZ'), ('chinese', 'JJ'), ('tells', 'NNS'), ('michigan', 'VBP'), ('crowd', 'JJ'), ('environmentalist', 'NN')]"
53,happens astronaut actor start conversation climate change,7.93151E+17,57,Positive,happens astronaut actor start conversation climate change,"[('happens', 'NNS'), ('astronaut', 'VBP'), ('actor', 'JJ'), ('start', 'NN'), ('conversation', 'NN'), ('climate', 'NN'), ('change', 'NN')]"
54,watch beforetheflood right travels world tackle climate change htt,7.93151E+17,66,Positive,watch beforetheflood right travels world tackle climate change htt,"[('watch', 'NN'), ('beforetheflood', 'NN'), ('right', 'RB'), ('travels', 'VBZ'), ('world', 'NN'), ('tackle', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('htt', 'NN')]"
55,vows cancel billions climate change funds un adds environmentalist,7.93151E+17,66,News,vows cancel billions climate change funds un adds environmentalist,"[('vows', 'NNS'), ('cancel', 'VBP'), ('billions', 'NNS'), ('climate', 'VBP'), ('change', 'NN'), ('funds', 'NNS'), ('un', 'JJ'), ('adds', 'VBZ'), ('environmentalist', 'NN')]"
56,trump called climate change hoax chinese tells michigan crowd environmentalist,7.93152E+17,78,Positive,trump called climate change hoax chinese tells michigan crowd environmentalist,"[('trump', 'NN'), ('called', 'VBN'), ('climate', 'NN'), ('change', 'NN'), ('hoax', 'VBZ'), ('chinese', 'JJ'), ('tells', 'NNS'), ('michigan', 'VBP'), ('crowd', 'JJ'), ('environmentalist', 'NN')]"
57,vegan meat industry contributes greatly climate change deforestation,7.93152E+17,68,Positive,vegan meat industry contributes greatly climate change deforestation,"[('vegan', 'JJ'), ('meat', 'NN'), ('industry', 'NN'), ('contributes', 'VBZ'), ('greatly', 'RB'), ('climate', 'JJ'), ('change', 'NN'), ('deforestation', 'NN')]"
58,late fight climate change yearsproject,7.93154E+17,38,Positive,late fight climate change yearsproject,"[('late', 'RB'), ('fight', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('yearsproject', 'NN')]"
59,vows cancel billions climate change funds un adds environmentalist,7.93154E+17,66,News,vows cancel billions climate change funds un adds environmentalist,"[('vows', 'NNS'), ('cancel', 'VBP'), ('billions', 'NNS'), ('climate', 'VBP'), ('change', 'NN'), ('funds', 'NNS'), ('un', 'JJ'), ('adds', 'VBZ'), ('environmentalist', 'NN')]"
60,trump called climate change hoax chinese tells michigan crowd environmentalist,7.93155E+17,78,Positive,trump called climate change hoax chinese tells michigan crowd environmentalist,"[('trump', 'NN'), ('called', 'VBN'), ('climate', 'NN'), ('change', 'NN'), ('hoax', 'VBZ'), ('chinese', 'JJ'), ('tells', 'NNS'), ('michigan', 'VBP'), ('crowd', 'JJ'), ('environmentalist', 'NN')]"
61,watch leonardo dicaprio climate change documentary beforetheflood free online,7.93156E+17,77,Neutral,watch leonardo dicaprio climate change documentary beforetheflood free online,"[('watch', 'NN'), ('leonardo', 'NN'), ('dicaprio', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('documentary', 'JJ'), ('beforetheflood', 'NN'), ('free', 'JJ'), ('online', 'NN')]"
62,climate change widely accepted 9 global warming effects may still surprise,7.93156E+17,74,Positive,climate change widely accepted 9 global warming effects may still surprise,"[('climate', 'NN'), ('change', 'NN'), ('widely', 'RB'), ('accepted', 'VBD'), ('9', 'CD'), ('global', 'JJ'), ('warming', 'VBG'), ('effects', 'NNS'), ('may', 'MD'), ('still', 'RB'), ('surprise', 'VB')]"
63,mediterranean become desert unless global warming limited 1 5c,7.93156E+17,62,Positive,mediterranean become desert unless global warming limited 1 5c,"[('mediterranean', 'JJ'), ('become', 'NN'), ('desert', 'NN'), ('unless', 'IN'), ('global', 'JJ'), ('warming', 'NN'), ('limited', 'VBD'), ('1', 'CD'), ('5c', 'CD')]"
64,2016 believe people still believe climate change effing science,7.93156E+17,63,Positive,2016 believe people still believe climate change effing science,"[('2016', 'CD'), ('believe', 'VBP'), ('people', 'NNS'), ('still', 'RB'), ('believe', 'VBP'), ('climate', 'NN'), ('change', 'NN'), ('effing', 'VBG'), ('science', 'NN')]"
65,respecting first nations sovereignty fighting petrocapitalism standing climate change get nodapl,7.93156E+17,96,Positive,respecting first nations sovereignty fighting petrocapitalism standing climate change get nodapl,"[('respecting', 'VBG'), ('first', 'JJ'), ('nations', 'NNS'), ('sovereignty', 'VBP'), ('fighting', 'VBG'), ('petrocapitalism', 'NN'), ('standing', 'VBG'), ('climate', 'NN'), ('change', 'NN'), ('get', 'VBP'), ('nodapl', 'JJ')]"
66,miss premier climate change documentary beforetheflood yesterday catch gt gt https,7.93158E+17,82,Positive,miss premier climate change documentary beforetheflood yesterday catch gt gt https,"[('miss', 'NNS'), ('premier', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('documentary', 'JJ'), ('beforetheflood', 'NN'), ('yesterday', 'NN'), ('catch', 'VBP'), ('gt', 'NN'), ('gt', 'NN'), ('https', 'NN')]"
67,new climate change film streaming beforetheflood,7.93159E+17,48,News,new climate change film streaming beforetheflood,"[('new', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('film', 'NN'), ('streaming', 'VBG'), ('beforetheflood', 'NN')]"
68,huge climate change victory happened rwanda people noticed,7.93159E+17,58,Positive,huge climate change victory happened rwanda people noticed,"[('huge', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('victory', 'NN'), ('happened', 'VBD'), ('rwanda', 'JJ'), ('people', 'NNS'), ('noticed', 'VBD')]"
69,page asked dad watch documentary came climate change legit turned trump vs hillary thing,7.93159E+17,88,Neutral,page asked dad watch documentary came climate change legit turned trump vs hillary thing,"[('page', 'NN'), ('asked', 'VBD'), ('dad', 'JJ'), ('watch', 'NN'), ('documentary', 'NN'), ('came', 'VBD'), ('climate', 'JJ'), ('change', 'NN'), ('legit', 'NN'), ('turned', 'VBD'), ('trump', 'JJ'), ('vs', 'JJ'), ('hillary', 'JJ'), ('thing', 'NN')]"
70,everyone glad 80 degree weather october stop thinking global warming,7.9316E+17,68,Positive,everyone glad 80 degree weather october stop thinking global warming,"[('everyone', 'NN'), ('glad', 'JJ'), ('80', 'CD'), ('degree', 'NN'), ('weather', 'NN'), ('october', 'NNP'), ('stop', 'NN'), ('thinking', 'VBG'), ('global', 'JJ'), ('warming', 'NN')]"
71,leo come leo im busy friend said global warming real leo,7.9316E+17,56,Neutral,leo come leo im busy friend said global warming real leo,"[('leo', 'JJ'), ('come', 'VB'), ('leo', 'JJ'), ('im', 'JJ'), ('busy', 'JJ'), ('friend', 'NN'), ('said', 'VBD'), ('global', 'JJ'), ('warming', 'NN'), ('real', 'JJ'), ('leo', 'NN')]"
72,al gore creator internet global warming,7.9316E+17,39,Neutral,al gore creator internet global warming,"[('al', 'NN'), ('gore', 'NN'), ('creator', 'NN'), ('internet', 'NN'), ('global', 'JJ'), ('warming', 'NN')]"
73,prepping talk pasignyc thinking nodapl climate change water abou,7.9316E+17,64,Positive,prepping talk pasignyc thinking nodapl climate change water abou,"[('prepping', 'VBG'), ('talk', 'NN'), ('pasignyc', 'IN'), ('thinking', 'VBG'), ('nodapl', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('water', 'NN'), ('abou', 'NN')]"
74,important article need 2 make nodapl climate change thus erasing struggle native rights,7.93161E+17,87,Positive,important article need 2 make nodapl climate change thus erasing struggle native rights,"[('important', 'JJ'), ('article', 'NN'), ('need', 'VBP'), ('2', 'CD'), ('make', 'VBP'), ('nodapl', 'JJ'), ('climate', 'NN'), ('change', 'NN'), ('thus', 'RB'), ('erasing', 'VBG'), ('struggle', 'NNS'), ('native', 'JJ'), ('rights', 'NNS')]"
75,trend toward increased acceptance climate change acceptance human caused flat science2016electi,7.93162E+17,95,Neutral,trend toward increased acceptance climate change acceptance human caused flat science2016electi,"[('trend', 'NN'), ('toward', 'IN'), ('increased', 'VBN'), ('acceptance', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('acceptance', 'NN'), ('human', 'NN'), ('caused', 'VBD'), ('flat', 'JJ'), ('science2016electi', 'NN')]"
76,watch beforetheflood right travels world tackle climate change htt,7.93163E+17,66,Positive,watch beforetheflood right travels world tackle climate change htt,"[('watch', 'NN'), ('beforetheflood', 'NN'), ('right', 'RB'), ('travels', 'VBZ'), ('world', 'NN'), ('tackle', 'NN'), ('climate', 'NN'), ('change', 'NN'), ('htt', 'NN')]"
77,watch periscope global warming winston neace,7.93164E+17,44,Neutral,watch periscope global warming winston neace,"[('watch', 'NN'), ('periscope', 'NN'), ('global', 'JJ'), ('warming', 'VBG'), ('winston', 'NN'), ('neace', 'NN')]"
